CodigoDoPrograma,NomeDoPrograma,SiglaIes,IesCd,Local,MunicipioCd,AreaDeAvaliacao,Modalidade,Nivel,DataInicioMestrado,DataInicioDoutorado,Nota1998,Nota2001,Nota2004,Nota2007,Nota2010,Nota2013,Recomend,Nota2017,NotaCtc,NotaReconsideracao,NotaFinal,DoutoradoDescredenciado,Reconsideracao,Acompanhento,IesNome,IesSigla,IesSiglaAgrupada,NaturezaJuridica,NaturezaJuridicaMec,Comunitaria,Filantropica,Confessional,MunicipioCdCompleto,Pais,Regiao,UfCd,UfNome,Uf,Mesorregiao,Microrregiao,Municipio,CodRgi,RegiaoGeograficaImediata,CodRgint,RegiaoGeograficaIntermediaria,IndiceDeGini2010,PercDosOcupadosComSuperiorCompleto18AnosOuMais2010,PopulacaoTotal2010,PopulacaoRural2010,PopulacaoUrbana2010,Idhm2010,IdhmRenda2010,IdhmLongevidade2010,IdhmEducacao2010,SubindiceDeEscolaridadeIdhmEducacao2010,PercDe25AnosOuMaisComSuperiorCompleto2010,ExpectativaDeAnosDeEstudo2010,TaxaDeFrequenciaBrutaAoSuperior2010,TaxaDeFrequenciaLiquidaAoSuperior2010,RendaPerCapita2010,PopulacaoRgi,PopulacaoRgInt,GrandeArea,Colegio,ViceCoordenador,ExperienciaCoordenador,SelecaoCoordenador,MinimoDocentesDO,MinimoDocentesME,MinimoDocentesMP,MediaIDEB,NaturezaJuridicaDetalhada,Descontinuidade,Involucao,Estagnacao,Risco,EstagnadoTipo,NotaAnterior,VariacaoNota,PPGsPorMunicipio,PPGsPorRGI,PPGsPorRGInt,PPGsPorUF,PercRiscoPorUf,PercRiscoPorMunicipio,PercRiscoPorRegiao,PercRiscoPorRGI,PercRiscoPorRGInt,PPGsPorIES,MediaPonderadaNotas,ProporcaoNotas567,IdadePPG,PropPosGraduadosMun,PropPosGraduadosRGI,PropPosGraduadosRGInt,PropSuperiorMun,PropSuperiorRGI,PropSuperiorRGInt,DensidadePPGMun,6,DensidadePPGRGI,DensidadePPGRGInt,Permanentes,PropSenior,PropJunior,PropSeniorJunior,PermanentesPorMinimo
11001011001P8,ECOLOGIA E MANEJO DE RECURSOS NATURAIS,UFAC,11001011,Rio Branco (AC),1200401,BIODIVERSIDADE,ACADÊMICO,Mestrado,1996-01-01,,,,3,3,3,3,,3,3,,3,,Não,não,UNIVERSIDADE FEDERAL DO ACRE,UFAC,UFAC,Pública Federal,Pública Federal,,,,1200401,Brasil,Norte,12,Acre,AC,Vale do Acre,Rio Branco,Rio Branco,120001,Rio Branco,1201,Rio Branco,0.59,0.1497,336038,27493,308545,0.73,0.73,0.8,0.66,0.6,0.1293,9.72,0.3659,0.1518,744.67,418113,527475,Ciências Biológicas,Ciências da Vida,SIM,18,ELEICAO,12,10,8,5.24,Pública Federal,0,0,1,1,3x3,3,0,10,10,10,10,0.1,0.1,0.23348017621145375,0.1,0.1,10,3.4,0,20,0.012745809311655844,0.010968877051443542,0.010122761160118109,0.14473278035058476,0.12821095097313537,0.11689754721054398,21,6,19,16,16,0.1875,0.25,0.4375,1.6
11001011004P7,PRODUÇÃO VEGETAL,UFAC,11001011,Rio Branco (AC),1200401,CIÊNCIAS AGRÁRIAS I,ACADÊMICO,Mestrado/Doutorado,2006-01-01,2014-01-01,,,,3,3,3,,4,4,,4,,Não,não,UNIVERSIDADE FEDERAL DO ACRE,UFAC,UFAC,Pública Federal,Pública Federal,,,,1200401,Brasil,Norte,12,Acre,AC,Vale do Acre,Rio Branco,Rio Branco,120001,Rio Branco,1201,Rio Branco,0.59,0.1497,336038,27493,308545,0.73,0.73,0.8,0.66,0.6,0.1293,9.72,0.3659,0.1518,744.67,418113,527475,Ciências Agrárias,Ciências da Vida,,,,12,10,10,5.24,Pública Federal,0,0,0,0,"",3,1,10,10,10,10,0.1,0.1,0.23348017621145375,0.1,0.1,10,3.4,0,10,0.012745809311655844,0.010968877051443542,0.010122761160118109,0.14473278035058476,0.12821095097313537,0.11689754721054398,21,6,19,16,12,0,0,0,1
11001011071P6,CIÊNCIA FLORESTAL,UFAC,11001011,Rio Branco (AC),1200401,CIÊNCIAS AGRÁRIAS I,ACADÊMICO,Mestrado,2016-04-11,,,,,,,,3,3,3,,3,,Não,sim,UNIVERSIDADE FEDERAL DO ACRE,UFAC,UFAC,Pública Federal,Pública Federal,,,,1200401,Brasil,Norte,12,Acre,AC,Vale do Acre,Rio Branco,Rio Branco,120001,Rio Branco,1201,Rio Branco,0.59,0.1497,336038,27493,308545,0.73,0.73,0.8,0.66,0.6,0.1293,9.72,0.3659,0.1518,744.67,418113,527475,Ciências Agrárias,Ciências da Vida,SIM,12,ELEICAO,12,10,10,5.24,Pública Federal,0,0,0,0,"",3,0,10,10,10,10,0.1,0.1,0.23348017621145375,0.1,0.1,10,3.4,0,0,0.012745809311655844,0.010968877051443542,0.010122761160118109,0.14473278035058476,0.12821095097313537,0.11689754721054398,21,6,19,16,8,0,0.625,0.625,0.8
11001011009P9,EDUCAÇÃO,UFAC,11001011,Rio Branco (AC),1200401,EDUCAÇÃO,ACADÊMICO,Mestrado,2014-09-08,,,,,,,,3,3,3,,3,,Não,não,UNIVERSIDADE FEDERAL DO ACRE,UFAC,UFAC,Pública Federal,Pública Federal,,,,1200401,Brasil,Norte,12,Acre,AC,Vale do Acre,Rio Branco,Rio Branco,120001,Rio Branco,1201,Rio Branco,0.59,0.1497,336038,27493,308545,0.73,0.73,0.8,0.66,0.6,0.1293,9.72,0.3659,0.1518,744.67,418113,527475,Ciências Humanas,Humanidades,,,,10,10,10,5.24,Pública Federal,0,0,0,0,"",3,0,10,10,10,10,0.1,0.1,0.23348017621145375,0.1,0.1,10,3.4,0,2,0.012745809311655844,0.010968877051443542,0.010122761160118109,0.14473278035058476,0.12821095097313537,0.11689754721054398,21,6,19,16,9,0,0.1111111111111111,0.1111111111111111,0.9
11001011007P6,Ensino de Ciências e Matemática,UFAC,11001011,Rio Branco (AC),1200401,ENSINO,PROFISSIONAL,Mestrado Profissional,2014-01-01,,,,,,,,3,3,3,,3,,Não,não,UNIVERSIDADE FEDERAL DO ACRE,UFAC,UFAC,Pública Federal,Pública Federal,,,,1200401,Brasil,Norte,12,Acre,AC,Vale do Acre,Rio Branco,Rio Branco,120001,Rio Branco,1201,Rio Branco,0.59,0.1497,336038,27493,308545,0.73,0.73,0.8,0.66,0.6,0.1293,9.72,0.3659,0.1518,744.67,418113,527475,Multidisciplinar,"Ciências Exatas, Tecnológicas e Multidisciplinar",,,,10,10,10,5.24,Pública Federal,0,0,0,0,"",3,0,10,10,10,10,0.1,0.1,0.23348017621145375,0.1,0.1,10,3.4,0,2,0.012745809311655844,0.010968877051443542,0.010122761160118109,0.14473278035058476,0.12821095097313537,0.11689754721054398,21,6,19,16,18,0.1111111111111111,0.5555555555555556,0.6666666666666666,1.8
11001011006P0,"Ciência, Inovação e Tecnologia para a Amazônia",UFAC,11001011,Rio Branco (AC),1200401,INTERDISCIPLINAR,ACADÊMICO,Mestrado,2011-01-01,,,,,,,3,,3,3,3,3,,Sim,não,UNIVERSIDADE FEDERAL DO ACRE,UFAC,UFAC,Pública Federal,Pública Federal,,,,1200401,Brasil,Norte,12,Acre,AC,Vale do Acre,Rio Branco,Rio Branco,120001,Rio Branco,1201,Rio Branco,0.59,0.1497,336038,27493,308545,0.73,0.73,0.8,0.66,0.6,0.1293,9.72,0.3659,0.1518,744.67,418113,527475,Multidisciplinar,"Ciências Exatas, Tecnológicas e Multidisciplinar",SIM,22,ELEICAO,12,12,12,5.24,Pública Federal,0,0,0,0,"",3,0,10,10,10,10,0.1,0.1,0.23348017621145375,0.1,0.1,10,3.4,0,5,0.012745809311655844,0.010968877051443542,0.010122761160118109,0.14473278035058476,0.12821095097313537,0.11689754721054398,21,6,19,16,16,0,0.1875,0.1875,1.33
11001011003P0,LETRAS- LINGUAGEM E IDENTIDADE,UFAC,11001011,Rio Branco (AC),1200401,LINGUÍSTICA E LITERATURA,ACADÊMICO,Mestrado,2006-01-01,,,,,3,3,3,,3,3,4,4,,Sim,não,UNIVERSIDADE FEDERAL DO ACRE,UFAC,UFAC,Pública Federal,Pública Federal,,,,1200401,Brasil,Norte,12,Acre,AC,Vale do Acre,Rio Branco,Rio Branco,120001,Rio Branco,1201,Rio Branco,0.59,0.1497,336038,27493,308545,0.73,0.73,0.8,0.66,0.6,0.1293,9.72,0.3659,0.1518,744.67,418113,527475,"Linguística, Letras e Artes",Humanidades,SIM,46,ELEICAO,12,8,6,5.24,Pública Federal,0,0,0,0,"",3,1,10,10,10,10,0.1,0.1,0.23348017621145375,0.1,0.1,10,3.4,0,10,0.012745809311655844,0.010968877051443542,0.010122761160118109,0.14473278035058476,0.12821095097313537,0.11689754721054398,21,6,19,16,17,0,0.47058823529411764,0.47058823529411764,2.12
11001011070P0,CIÊNCIAS DA SAÚDE NA AMAZÔNIA OCIDENTAL,UFAC,11001011,Rio Branco (AC),1200401,MEDICINA II,ACADÊMICO,Mestrado,2016-03-07,,,,,,,,3,3,2,3,3,,Sim,não,UNIVERSIDADE FEDERAL DO ACRE,UFAC,UFAC,Pública Federal,Pública Federal,,,,1200401,Brasil,Norte,12,Acre,AC,Vale do Acre,Rio Branco,Rio Branco,120001,Rio Branco,1201,Rio Branco,0.59,0.1497,336038,27493,308545,0.73,0.73,0.8,0.66,0.6,0.1293,9.72,0.3659,0.1518,744.67,418113,527475,Ciências da Saúde,Ciências da Vida,SIM,14,ELEICAO,12,10,10,5.24,Pública Federal,0,0,0,0,"",3,0,10,10,10,10,0.1,0.1,0.23348017621145375,0.1,0.1,10,3.4,0,0,0.012745809311655844,0.010968877051443542,0.010122761160118109,0.14473278035058476,0.12821095097313537,0.11689754721054398,21,6,19,16,20,0,0.35,0.35,2
11001011008P2,Sanidade e Produção Animal Sustentável na Amazônia Ocidental,UFAC,11001011,Rio Branco (AC),1200401,MEDICINA VETERINÁRIA,ACADÊMICO,Mestrado/Doutorado,2014-01-01,2017-03-01,,,,,,,3,4,4,,4,,Não,não,UNIVERSIDADE FEDERAL DO ACRE,UFAC,UFAC,Pública Federal,Pública Federal,,,,1200401,Brasil,Norte,12,Acre,AC,Vale do Acre,Rio Branco,Rio Branco,120001,Rio Branco,1201,Rio Branco,0.59,0.1497,336038,27493,308545,0.73,0.73,0.8,0.66,0.6,0.1293,9.72,0.3659,0.1518,744.67,418113,527475,Ciências Agrárias,Ciências da Vida,,,,10,10,10,5.24,Pública Federal,0,0,0,0,"",3,1,10,10,10,10,0.1,0.1,0.23348017621145375,0.1,0.1,10,3.4,0,2,0.012745809311655844,0.010968877051443542,0.010122761160118109,0.14473278035058476,0.12821095097313537,0.11689754721054398,21,6,19,16,19,0,0.5789473684210527,0.5789473684210527,1.9
11001011005P3,SAÚDE COLETIVA,UFAC,11001011,Rio Branco (AC),1200401,SAÚDE COLETIVA,ACADÊMICO,Mestrado/Doutorado,2008-01-01,2016-03-07,,,,,3,4,,4,4,,4,,Não,não,UNIVERSIDADE FEDERAL DO ACRE,UFAC,UFAC,Pública Federal,Pública Federal,,,,1200401,Brasil,Norte,12,Acre,AC,Vale do Acre,Rio Branco,Rio Branco,120001,Rio Branco,1201,Rio Branco,0.59,0.1497,336038,27493,308545,0.73,0.73,0.8,0.66,0.6,0.1293,9.72,0.3659,0.1518,744.67,418113,527475,Ciências da Saúde,Ciências da Vida,SIM,51,ELEICAO,10,10,10,5.24,Pública Federal,0,0,0,0,"",4,0,10,10,10,10,0.1,0.1,0.23348017621145375,0.1,0.1,10,3.4,0,8,0.012745809311655844,0.010968877051443542,0.010122761160118109,0.14473278035058476,0.12821095097313537,0.11689754721054398,21,6,19,16,12,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.2
